;school;sex;age;address;Pstatus;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;approved;extra
423;MS;F;16;U;T;father;2;1;0;no;yes;5;11;10;11;11;1;1
424;MS;F;16;R;T;mother;2;2;0;no;yes;5;0;12;12;12;1;1
425;MS;F;15;R;T;mother;1;1;1;no;no;2;6;10;10;10;1;1
426;MS;F;15;R;T;mother;2;1;0;no;yes;5;4;10;10;11;1;1
427;MS;F;16;R;T;mother;2;2;0;no;no;5;0;16;17;17;1;0
428;MS;F;15;R;T;mother;2;1;0;no;no;1;0;6;8;9;0;
429;MS;M;16;R;A;mother;1;2;0;no;no;2;5;10;11;11;1;1
430;MS;M;16;U;A;mother;1;3;0;no;yes;5;0;10;11;11;1;1
431;MS;F;17;R;T;father;1;2;1;no;no;5;0;10;10;10;1;1
432;MS;F;17;R;T;father;1;1;1;no;yes;5;0;6;6;7;0;
433;MS;F;15;R;T;mother;2;1;0;no;yes;5;0;13;14;14;1;1
434;MS;F;16;U;A;mother;2;4;0;no;no;1;4;10;9;11;1;1
435;MS;F;15;R;T;father;2;2;0;no;yes;4;0;10;10;10;1;1
436;MS;F;15;R;T;mother;2;1;1;no;yes;2;4;6;7;8;0;
437;MS;F;16;R;T;mother;2;1;0;no;no;2;0;12;11;12;1;1
438;MS;F;17;R;T;mother;2;1;0;no;yes;3;2;10;11;12;1;1
439;MS;F;15;R;T;father;2;1;0;no;yes;4;0;14;16;16;1;0
440;MS;M;16;U;T;mother;2;2;0;no;no;3;0;7;0;0;0;
441;MS;M;17;U;T;mother;1;2;0;yes;yes;5;4;8;9;9;0;
442;MS;M;15;R;T;father;1;2;0;no;yes;2;0;12;13;14;1;1
443;MS;M;15;R;T;father;1;2;0;no;yes;2;7;7;9;8;0;
444;MS;M;16;R;T;mother;3;2;0;no;no;5;4;9;10;11;1;1
445;MS;M;15;R;T;mother;4;2;0;no;no;4;8;7;9;9;0;
446;MS;M;15;U;T;father;1;2;0;no;yes;5;0;11;11;11;1;1
447;MS;M;17;R;T;mother;3;1;0;no;no;3;8;8;10;9;0;
448;MS;F;16;R;T;mother;2;3;0;no;yes;4;6;16;16;17;1;0
449;MS;F;15;R;T;mother;2;1;0;no;no;1;3;11;13;13;1;1
450;MS;F;16;R;T;mother;3;2;0;no;yes;1;2;15;15;15;1;1
451;MS;M;16;R;T;father;2;2;0;no;no;5;0;10;11;11;1;1
