;school;sex;age;address;Pstatus;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;approved;extra
349;MS;M;18;R;T;mother;2;1;1;no;yes;5;10;11;13;13;1;1
350;MS;M;19;R;T;other;3;2;3;no;yes;2;8;8;7;8;0;
351;MS;M;17;U;T;mother;2;2;0;yes;yes;3;2;13;13;13;1;1
352;MS;M;18;U;T;mother;1;1;1;no;yes;3;7;8;7;8;0;
353;MS;M;19;R;T;other;3;1;1;no;yes;5;4;8;8;8;0;
354;MS;M;17;R;T;mother;2;2;0;yes;yes;2;4;13;11;11;1;1
355;MS;F;18;U;T;father;1;2;0;no;no;5;0;10;9;9;0;
356;MS;F;17;R;T;father;2;2;0;yes;yes;5;4;12;13;13;1;1
357;MS;F;17;U;A;mother;2;2;0;no;no;5;2;12;12;11;1;1
358;MS;M;18;U;T;father;2;1;0;no;yes;3;4;10;10;10;1;1
359;MS;F;18;U;T;father;2;3;0;no;yes;4;0;18;16;16;1;0
360;MS;F;18;R;A;mother;3;2;0;no;no;5;0;13;13;13;1;1
361;MS;M;18;R;T;mother;2;2;1;no;no;5;2;13;12;12;1;1
362;MS;F;18;U;T;mother;2;2;0;no;yes;3;0;11;11;10;1;1
363;MS;F;17;U;T;mother;1;2;0;yes;yes;1;0;16;15;15;1;1
364;MS;F;17;R;T;father;2;2;0;no;no;3;0;12;11;12;1;1
365;MS;M;18;R;T;mother;2;2;0;yes;no;3;4;10;10;10;1;1
366;MS;M;18;U;T;mother;2;3;0;yes;yes;5;0;13;13;13;1;1
367;MS;F;17;R;T;mother;3;1;1;yes;yes;1;0;7;6;0;0;
368;MS;F;18;U;T;father;2;1;0;yes;yes;4;0;11;10;10;1;1
369;MS;F;18;R;T;father;3;2;0;yes;yes;5;10;14;12;11;1;1
370;MS;F;19;U;T;other;2;2;2;no;no;3;4;7;7;9;0;
371;MS;M;18;R;T;father;3;1;0;yes;yes;3;3;14;12;12;1;1
372;MS;F;17;U;T;mother;1;3;0;no;no;3;8;13;11;11;1;1
373;MS;F;17;R;T;mother;1;1;0;no;yes;1;14;6;5;5;0;
374;MS;F;18;R;T;mother;2;3;0;no;yes;1;0;19;18;19;1;0
375;MS;F;18;R;T;mother;4;3;0;no;yes;4;2;8;8;10;1;1
376;MS;F;20;U;T;other;2;3;2;yes;yes;3;4;15;14;15;1;1
377;MS;F;18;R;T;mother;1;2;0;yes;yes;2;4;8;9;10;1;1
378;MS;F;18;U;T;mother;1;2;0;yes;yes;1;0;15;15;15;1;1
379;MS;F;17;R;T;mother;1;2;0;yes;yes;1;17;10;10;10;1;1
380;MS;M;18;U;T;father;1;2;0;yes;yes;2;4;15;14;14;1;1
381;MS;M;18;R;T;mother;2;1;0;no;yes;5;5;7;6;7;0;
382;MS;M;17;U;T;father;2;2;0;no;yes;3;2;11;11;10;1;1
383;MS;M;19;R;T;mother;2;1;1;no;no;5;0;6;5;0;0;
384;MS;M;18;R;T;father;2;1;1;yes;no;3;14;6;5;5;0;
385;MS;F;18;R;T;mother;2;3;0;yes;no;4;2;10;9;10;1;1
386;MS;F;18;R;T;mother;3;1;0;yes;yes;5;7;6;5;6;0;
387;MS;F;19;R;T;mother;1;3;1;no;yes;5;0;7;5;0;0;
388;MS;F;18;U;T;mother;1;2;0;yes;yes;1;0;7;9;8;0;
389;MS;F;18;U;T;mother;2;2;1;no;no;5;0;6;5;0;0;
390;MS;M;20;U;A;other;1;2;2;yes;no;4;11;9;9;9;0;
391;MS;M;17;U;T;mother;2;1;0;no;yes;2;3;14;16;16;1;0
392;MS;M;21;R;T;other;1;1;3;no;no;3;3;10;8;7;0;
393;MS;M;18;R;T;mother;3;1;0;no;yes;5;0;11;12;10;1;1
394;MS;M;19;U;T;father;1;1;0;no;yes;5;5;8;9;9;0;
